KeywordID,CategoryID
218,12
167,12
218,12
295,12
296,12
297,12
298,12
228,12
237,12
299,12
240,12
300,12
301,12
296,12
260,12
302,12
237,12
303,12
246,12
246,12
303,12
228,12
304,12
305,12
228,12
237,12
240,12
228,12
306,12
307,12
308,12
245,12
232,12
308,12
309,12
310,12
228,12
311,12
228,12
228,12
228,12
228,12
228,12
312,12
219,12
246,12
313,12
228,12
314,12
315,12
316,12
317,12
222,12
318,12
319,12
320,12
246,12
318,12
321,12
304,12
318,12
319,12
260,12
322,12
323,12
324,12
325,12
319,12
326,12
327,12
328,12
38,12
228,12
329,12
330,12
331,12
332,12
332,12
332,12
333,12
38,12
334,12
335,12
336,12
334,12
237,12
337,12
190,12
237,12
338,12
237,12
339,12
38,12
246,12
222,12
340,12
237,12
341,12
342,12
343,12
246,12
344,12
345,12
246,12
260,12
346,12
347,12
348,12
349,12
237,12
350,12
351,12
352,12
353,12
353,12
353,12
38,12
353,12
353,12
353,12
222,12
354,12
326,12
355,12
356,12
237,12
357,12
358,12
359,12
360,12
361,12
237,12
362,12
353,12
353,12
222,12
357,12
357,12
363,12
364,12
365,12
357,12
366,12
228,12
353,12
361,12
355,12
367,12
355,12
328,12
222,12
357,12
368,12
303,12
303,12
353,12
369,12
370,12
371,12
304,12
372,12
373,12
374,12
375,12
38,12
376,12
377,12
333,12
38,12
378,12
379,12
38,12
376,12
222,12
303,12
380,12
337,12
358,12
222,12
38,12
381,12
381,12
381,12
335,12
382,12
383,12
335,12
335,12
303,12
384,12
385,12
222,12
228,12
386,12
38,12
387,12
388,12
146,12
228,12
146,12
389,12
390,12
391,12
3,12
392,12
335,12
335,12
393,12
336,12
386,12
394,12
395,12
396,12
397,12
398,12
352,12
399,12
352,12
400,12
401,12
402,12
403,12
38,12
404,12
401,12
401,12
405,12
406,12
407,12
408,12
409,12
401,12
410,12
401,12
383,12
400,12
401,12
411,12
304,12
260,12
412,12
146,12
146,12
413,12
414,12
228,12
304,12
240,12
415,12
416,12
417,12
380,12
335,12
418,12
307,12
419,12
205,12
420,12
228,12
237,12
421,12
422,12
423,12
392,12
420,12
424,12
425,12
426,12
167,12
392,12
235,13
237,12
421,12
421,12
427,12
428,12
392,12
237,12
429,12
430,12
333,12
222,12
431,12
432,12
237,12
433,12
392,12
392,12
434,12
435,12
436,12
437,12
438,12
439,12
146,12
146,12
440,12
441,12
392,12
442,12
443,12
444,12
380,12
445,12
445,12
296,12
446,12
447,12
448,12
449,12
449,12
449,12
304,12
450,12
451,12
452,12
304,12
453,12
454,12
387,12
455,12
456,12
457,12
458,12
459,12
460,12
461,12
228,12
462,12
303,12
463,12
338,12
464,12
260,12
260,12
260,12
237,12
462,12
462,12
260,12
260,12
303,12
465,12
146,12
466,12
146,12
467,12
468,12
469,12
470,12
471,12
472,12
473,12
474,12
303,12
475,12
304,12
476,12
477,12
478,12
479,12
335,12
296,12
480,12
260,12
222,12
333,12
235,13
481,12
260,12
482,12
260,12
483,12
484,12
410,12
228,12
485,12
260,12
462,12
475,12
333,12
486,12
486,12
462,12
487,12
228,12
488,12
489,12
325,12
475,12
358,12
459,12
228,12
490,12
228,12
421,12
344,12
170,12
491,12
492,12
493,12
494,12
495,12
496,12
497,12
498,12
302,12
499,12
228,12
475,12
500,12
501,13
502,12
503,12
303,12
504,12
269,12
222,12
311,12
505,12
451,12
237,12
506,12
228,12
507,12
235,13
508,12
479,12
237,12
509,12
421,12
333,12
481,12
237,12
307,12
510,12
235,13
228,12
237,12
380,12
421,12
260,12
511,12
260,12
512,12
469,12
226,12
513,12
514,12
515,12
516,12
246,12
515,12
517,12
518,12
519,12
520,12
246,12
521,12
228,12
522,12
235,13
237,12
523,13
524,12
525,12
526,12
527,12
528,12
462,12
529,12
226,12
228,12
530,12
531,12
335,12
246,12
532,12
154,12
170,12
222,12
533,12
386,12
459,12
527,12
335,12
401,12
534,12
535,12
495,12
237,12
536,12
537,12
237,12
228,12
538,12
539,12
540,12
237,12
237,12
541,12
38,12
260,12
226,12
260,12
400,12
542,12
400,12
401,12
335,12
543,12
260,12
146,12
352,12
38,12
544,12
333,12
